iter	MAPE
0	0.5293691029
1	0.5204144916
2	0.4853858695
3	0.4740612468
4	0.4626929476
5	0.4519619971
6	0.4457445259
7	0.4408280068
8	0.4367420198
9	0.4334131439
10	0.4293894828
11	0.4269764818
12	0.4242643145
13	0.4220325139
14	0.4200764979
15	0.418416035
16	0.4173734858
17	0.4161248978
18	0.4150298268
19	0.4140830275
20	0.4132462404
21	0.4125054694
22	0.4120418737
23	0.4116473523
24	0.4113081924
25	0.4110042498
26	0.4107587121
27	0.410538261
28	0.4103564271
29	0.4099948806
30	0.4098980114
31	0.4095632975
32	0.4093331984
33	0.4090939049
34	0.408559751
35	0.4085489395
36	0.408319918
37	0.4083486965
38	0.4083957154
39	0.4084449853
40	0.4082838028
41	0.4083135245
42	0.4082047358
43	0.4081501373
44	0.4082757509
45	0.4082404188
46	0.4082358902
47	0.4082342515
48	0.4083532923
49	0.4083571259
50	0.408376054
51	0.4083963065
52	0.4085381857
53	0.4085612342
54	0.4085945309
55	0.4086329431
56	0.4086092362
57	0.4087246195
58	0.408769982
59	0.4089202076
60	0.408967501
61	0.4090176646
62	0.408979364
63	0.4091085885
64	0.4091630626
65	0.4092894397
66	0.409239209
67	0.409360611
68	0.4094671295
69	0.4096021793
70	0.4096522962
71	0.4096932058
72	0.4097395009
73	0.4096949896
74	0.4098037169
75	0.4099097796
76	0.4098705889
77	0.4099760105
78	0.4100774824
79	0.4101769953
80	0.4102963794
81	0.4103323443
82	0.4104296728
83	0.410522763
84	0.410612035
85	0.4106982502
86	0.4107838981
87	0.4108696149
88	0.4108907871
89	0.4109727227
90	0.4110518657
91	0.4111306652
92	0.4112095732
93	0.4112874746
94	0.4113633675
95	0.4114369007
96	0.4115062938
97	0.411573206
98	0.4116408015
99	0.4117072946
100	0.4117715475
101	0.4118347618
102	0.411898228
103	0.4119587943
104	0.4120181294
105	0.4120763139
106	0.4121341743
107	0.4121908347
108	0.4122480412
109	0.4123039602
110	0.4123587761
111	0.4124102102
112	0.4124597623
113	0.4125081471
114	0.4125557523
115	0.4126045993
116	0.4125272348
117	0.4125739357
118	0.4126188514
119	0.4126638386
120	0.4127081305
121	0.4127514837
122	0.4127961736
123	0.4128397234
124	0.4128829795
125	0.4129240918
126	0.412964187
127	0.4130021185
128	0.4130389881
129	0.4130750268
130	0.4131098306
131	0.4131424292
132	0.413176115
133	0.4132097065
134	0.4132422787
135	0.4132745395
136	0.4133054098
137	0.4133377333
138	0.4133688485
139	0.4133997253
140	0.4134286641
141	0.413456326
142	0.4134827633
143	0.4135080554
144	0.4135327405
145	0.4135582665
146	0.4135825457
147	0.4136048354
148	0.4136269362
149	0.4136491841
150	0.4136712622
151	0.4136924413
152	0.4137139042
153	0.4137354458
154	0.4137573584
155	0.4137803436
156	0.4138021266
157	0.4138239508
158	0.4138463794
159	0.4138683966
160	0.4138900283
161	0.4139116175
162	0.4139337012
163	0.4139552947
164	0.4139758784
165	0.4139977787
166	0.4140186989
167	0.4140393159
168	0.4140591084
169	0.4140785814
170	0.4140977306
171	0.4141165127
172	0.4141355738
173	0.4141549398
174	0.4141734357
175	0.414191673
176	0.4142348952
177	0.4142529331
178	0.4142710005
179	0.4142263324
180	0.4142426578
181	0.4142582608
182	0.4142737101
183	0.4142897519
184	0.4143051566
185	0.4143215461
186	0.4143363354
187	0.4143512364
188	0.4143652009
189	0.4143778317
190	0.4143905093
191	0.4142515222
192	0.414300765
193	0.4142676896
194	0.4142246023
195	0.4140459632
196	0.4140969912
197	0.4140577847
198	0.413978118
199	0.4139862858
200	0.4139622218
201	0.4140114842
202	0.4140212949
203	0.4139835926
204	0.4139660807
205	0.4137832825
206	0.4137300744
207	0.4135505093
208	0.4135933705
209	0.4135546491
210	0.4135296647
211	0.4133970597
212	0.4134386671
213	0.4134003258
214	0.4133827443
215	0.4133649432
216	0.4131846373
217	0.4132221968
218	0.4131867902
219	0.413153157
220	0.4129898796
221	0.4129388385
222	0.4129351104
223	0.4129740156
224	0.412960958
225	0.4130048752
226	0.4130105587
227	0.4129953778
228	0.4129624022
229	0.4130060896
230	0.4129803437
231	0.4129573695
232	0.4129965342
233	0.4130374479
234	0.4130321928
235	0.4128881811
236	0.4128827506
237	0.4128599929
238	0.4128990893
239	0.4129397829
240	0.4129332571
241	0.4129134318
242	0.4129526571
243	0.4129493048
244	0.4129864463
245	0.4129587171
246	0.4129348893
247	0.4129718007
248	0.4130071548
249	0.4130414116
250	0.4130748216
251	0.4131048469
252	0.4130774895
253	0.4130910492
254	0.4130651008
255	0.413094855
256	0.413124398
257	0.4131543938
258	0.4130984861
259	0.4131266822
260	0.4131201165
261	0.4130909188
262	0.413114506
263	0.4131387314
264	0.4131615864
265	0.4131844736
266	0.4131754461
267	0.4131959402
268	0.4132157768
269	0.4132336244
270	0.4131925481
271	0.413211698
272	0.4132323567
273	0.4132498533
274	0.4132660339
275	0.4132805028
276	0.4132942397
277	0.4132812025
278	0.4132965047
279	0.4133109098
280	0.4133130181
281	0.4132991669
282	0.4133123438
283	0.4133242331
284	0.4133342875
285	0.4133434562
286	0.4133519196
287	0.4133592771
288	0.4133582233
289	0.4133651112
290	0.4133712798
291	0.4133778611
292	0.4133848214
293	0.4133916724
294	0.413397414
295	0.4134034113
296	0.4134090421
297	0.4134136764
298	0.4134177979
299	0.4134226539
